node_id||type||coordinate||incoming_edge_id||outgoing_edge_id
42436598||traffic_light||(5433.23, 6217.06)||-194923807#2 194923807#1 335935797#1 ||-194923807#1 -335935797#1 194923807#2 
cluster_2562399792_3601295745_3601295749_3601295752_3601295762_3601295764_42448707_4296697329||traffic_light||(5390.27, 6144.21)||-194923807#1 -420872197#1 194923808#8 194926839#2 229904064#59 385105823#0 385105825#0 385105826#0 430385556#0 ||-420872201#0 194923807#1 229904064#63 385105823#2 385105825#1 385105826#2 420872197#1 430385556#1 
42455897||traffic_light||(5470.34, 6286.1)||-194923807#3 194923807#2 5673367#3 ||-194923807#2 -5673367#3 194923807#3 380099776 
cluster_2384399590_2704110928_42429918_4244407497_5007384474_5007384476_5007384481||traffic_light||(5506.62, 6357.05)||-194923807#6 194923807#3 229904064#67 527873713#0 527873715#0 54369822#0 619277987#2 ||-194923807#3 -619277987#2 194923807#6 229904064#71 512052141#1 527873713#1 
cluster_42454209_4298961520_4298961522||traffic_light||(5545.11, 6424.66)||-194923807#9 194923807#6 512052142#0 512052143#0 5672412#1 ||-194923807#6 194923807#9 512052142#1 512052143#1 
cluster_1632878994_42446293_5007384483||traffic_light||(5592.07, 6502.58)||-438384743 -5673179#1 194923807#9 ||-194923807#9 438384743 512052144#0 5671402 5673179#1 
4296650377||priority||(5207.67, 6241.82)||-420872201#0 194926839#1 430380399#0 ||-194926839#1 194926839#2 430380399#1 
cluster_3686062439_3817756016_3817756023_42442889_5690422189||traffic_light||(5189.97, 6246.21)||-194926839#1 -489019753#2 335935799#1 378363224#21 394355248#2 430380393#0 ||157014136#1 194926839#1 378363224#23 430380393#2 430380404#1 489019753#1 
cluster_2054377378_42445392_4290981311_4290991591||traffic_light||(5932.11, 6855.61)||-226193937 -68668529#0 194926840#0 194926842#1 368939314#0 429898271#0 443649237#2 ||-194926840#0 -443649237#2 144158892#1 226193937 368939314#2 420872205#1 429898271#1 587038048 
cluster_406048768_4273797604_5130933110||traffic_light||(5964.46, 6928.9)||-194926840#0 144158892#3 34769546#0 428252314#1 527855913#0 ||-34769546#0 194926840#0 428252314#2 527855913#1 5670317#1 
42431902||priority||(2682.74, 2215.43)||195743138 5671202#3 ||-195743138 195743196#0 
42431898||traffic_light||(2651.45, 2345.52)||-195743138 -277201109 -5673078 195743199#2 ||-195743199#2 195743138 277201109 5673078 
1918039877||traffic_light||(4352.87, 4655.08)||195743157 454963832#5 524387550#2 ||-195743157 -454963832#5 195743178 
42443127||traffic_light||(4356.97, 4670.51)||-195743157 5671083#1 634986991 ||-5671083#1 195743157 497769953#0 
3670742460||priority||(4448.13, 5854.5)||-195743164#1 195743164#0 362824460#0 ||-195743164#0 195743164#1 362824460#1 
cluster_3670742454_3670742481_42440721||traffic_light||(4436.91, 5859.29)||-195743164#0 362824451#0 385105207#0 420522695#2 547089938#0 ||-420522695#2 195743164#0 362824451#1 385105207#1 420598310#1 
42434352||traffic_light||(4532.43, 5808.65)||-5670254#0 -630828594#1 195743164#1 ||-195743164#1 5670254#0 630828594#0 
cluster_42449308_4597668020||traffic_light||(5066.66, 7129.17)||-385668565#0 -464683344 195743165#0 447001270 573476359#1 ||-195743165#1 -447001270 385668565#0 464683344 5673380#0 
42445899||traffic_light||(4928.28, 7203.27)||-195743165#1 447001272#2 5671693#0 ||195743165#0 420499932#0 
cluster_42440628_4876645530||priority||(2181.49, 3012.71)||-195743195#3 -495946403#2 195743195#1 495946393#0 495946403#1 ||-195743195#1 -495946403#1 195743195#3 495946393#1 495946403#2 
cluster_42427412_4876648469_4876648472||priority||(2147.46, 2949.79)||-195743195#1 -195743267#0 195743271#1 495946796#0 495946799#0 5671084#0 ||-195743271#1 -5671084#0 195743195#1 195743267#0 495946796#1 495946799#1 
cluster_42440639_4876645531_4876645540_4876645541||priority||(2201.49, 3050.72)||-195743195#5 -495946403#0 195743195#3 495946388#0 495946394#0 495946396#0 495946403#3 ||-195743195#3 -495946403#3 195743195#5 495946388#1 495946394#1 495946396#1 495946403#6 
cluster_42437401_5215013199_5215013217||traffic_light||(2231.59, 3131.21)||-226193904#0 -226193928#1 195743195#5 226193905#2 538836224#0 538836226#0 ||-195743195#5 -226193905#2 226193904#0 226193928#1 538836224#1 538836226#1 
5815643323||priority||(2252.98, 3646.31)||-195743197#1 195743197#0 614901561#0 ||-195743197#0 195743197#1 614901561#1 
42446854||priority||(2241.96, 3652.59)||-195743197#0 -46165809#0 160783047#2 46165815#3 ||-46165815#3 195743197#0 46165809#0 
588592974||traffic_light||(2332.48, 3601.0)||-195743197#2 195743197#1 353069285#2 ||-195743197#1 195743197#2 614569166#0 
cluster_1251359553_1251359563||traffic_light||(2755.16, 2380.95)||-195743199#2 109267275#0 195743199#0 ||-195743199#0 108235830 109267275#1 195743199#2 5671326 
cluster_42421941_42421960||traffic_light||(2872.4, 2478.87)||-195743199#0 -46160403 496989959 5668999#2 ||-496989959 195743199#0 413217632#0 46160403 
3799564975||priority||(4178.64, 7792.39)||-195743208#1 -464902523 195743208#0 ||-195743208#0 195743208#1 464902523 
42435644||traffic_light||(4113.63, 7827.39)||-195743208#0 420509471#0 600848485 ||-420509471#1 194926854#0 195743208#0 
