0,1,2,3,4,5,6,7,8
step,street_name,co,co2,noise,num_veh,ped,hc_emission,nox_emission
170,6th Avenue,0.0,0.0,6.989700043360188,0,(),0.0,0.0
175,6th Avenue,0.0,0.0,6.989700043360188,0,"('ped157',)",0.0,0.0
180,6th Avenue,407.79812725614386,45582.632463987065,78.25900853083866,4,"('ped157',)",2.3007893676558306,197.94053055754534
185,6th Avenue,42.11201376822559,32326.588314423134,77.90285976943542,5,"('ped157',)",0.0,267.5893142240632
190,6th Avenue,106.8355305502246,5905.340958408079,70.42383241243375,6,"('ped157',)",0.626213659717946,2.510295110797528
195,6th Avenue,189.97064726322782,25646.808865819505,75.70910604454373,5,(),7.505255846139746,153.57629560011284
200,6th Avenue,188.87027922323546,13877.934057561282,70.67121300764113,4,(),6.081625068438609,78.10650184378919
205,6th Avenue,92.04565592928842,5020.9977080768995,66.4063251198815,2,(),0.5369165660250697,2.101627248322459
210,6th Avenue,0.0,0.0,6.989700043360188,0,(),0.0,0.0
215,6th Avenue,0.0,0.0,6.989700043360188,0,(),0.0,0.0
220,6th Avenue,148.95021434496988,3666.7533395683045,66.59176971069107,1,(),0.7644276469880917,1.6348244746022367
225,6th Avenue,78.35731885561252,21744.893092696184,74.22832888117583,3,"('ped328',)",0.32804729729601045,161.2731946984026
230,6th Avenue,163.09303855744247,37124.62597025526,77.8949630051139,4,"('ped328',)",0.7313580383485653,252.97773696183629
235,6th Avenue,383.1431525954119,9608.81354245089,67.6170649220801,3,"('ped328',)",1.967666722095814,4.179430237157199
240,6th Avenue,7.5146089883870735,2607.763399535365,63.99131353762176,1,"('ped328',)",0.09212321742944025,0.8611337363006499
245,6th Avenue,0.0,0.0,6.989700043360188,0,"('ped328',)",0.0,0.0
250,6th Avenue,109.04468566211835,5844.14823840493,67.0469142694119,1,"('ped328',)",0.6347837247150743,2.4901739988067835
255,6th Avenue,42.19361143877897,27933.759491284647,77.88665840046652,3,"('ped194', 'ped328')",7.772948316744612,213.97050486938636
260,6th Avenue,0.0,0.0,65.19629804323733,4,"('ped194', 'ped328')",0.0,0.0
265,6th Avenue,217.1043026160933,6488.277511184464,76.1404983207933,4,"('ped194', 'ped328')",1.1379889847156932,2.7554130820044347
270,6th Avenue,0.0,0.0,60.90348831951062,2,"('ped194', 'ped328')",0.0,0.0
275,6th Avenue,0.0,0.0,64.52494679661945,3,"('ped194', 'ped328')",0.0,0.0
280,6th Avenue,77.87478960500528,2455.546323072258,63.527365898875274,3,"('ped194',)",0.4093181842386231,0.9773556026124257
